Date,Temperature,Dew_Point,Humidity,Wind_Speed,Pressure,Precipitation,EVI,NDVI,SPI
2017-03-06,28,22,74,15,29.88,0.0,0.608,0.83,-1.2789499137472018
2017-03-07,28,23,76,19,29.85,0.0,0.559,0.8171,-1.3916461841874024
2017-03-08,28,22,74,17,29.85,0.0,0.5572,0.8148,-1.9589017015412997
2017-03-09,28,23,77,20,29.88,0.2,0.4809,0.7805,-1.3916461841874024
2017-03-10,27,23,79,16,29.85,0.2,0.451,0.7051,-1.1827502600518889
2017-03-11,29,23,76,14,29.83,0.6,0.3588,0.7046,-0.8444828081773562
2017-03-12,29,23,77,14,29.83,1.5,0.2979,0.6338,-0.47129718399630294
2017-03-13,29,23,77,13,29.85,1.4,0.2661,0.5696,-0.25465691480495034
2017-03-14,29,23,77,15,29.83,1.6,0.1995,0.4684,-0.11347052002857892
2017-03-15,29,23,76,13,29.83,1.6,0.1941,0.3835,-0.10066518073483609
2017-03-16,29,23,76,13,29.83,0.9,0.2036,0.3383,-0.1668693407386773
2017-03-17,29,23,75,13,29.83,0.7,0.1965,0.3456,-0.3028053998201063
2017-03-18,29,23,76,14,29.83,1.1,0.2434,0.4297,-0.39117539057523004
2017-03-19,29,24,76,19,29.8,0.0,0.4367,0.6963,-0.5855868990244703
2017-03-20,29,24,77,20,29.85,0.6,0.5237,0.8074,-0.6118092092524866
2017-03-21,29,23,75,17,29.85,4.3,0.4228,0.729,-0.062210098556174896
2017-03-22,29,24,77,18,29.88,5.5,0.4466,0.7272,0.4373506129218278
2017-03-23,29,23,75,16,29.85,7.2,0.3263,0.6627,0.8358579648659255
2017-03-24,29,23,73,15,29.85,8.6,0.2759,0.6403,1.0430405442732615
2017-03-25,29,23,73,16,29.85,10.0,0.2374,0.5568,1.2332476962728334
2017-03-26,28,23,73,15,29.88,12.0,0.2151,0.4813,1.4146809658982777
2017-03-27,28,23,76,16,29.88,5.7,0.2038,0.4128,1.3073550326203902
2017-03-28,29,23,75,15,29.85,9.6,0.1879,0.3627,1.2920198866625947
2017-03-29,29,24,74,17,29.83,0.8,0.2362,0.4015,0.7883489173130827
2017-03-30,29,24,76,18,29.83,1.7,0.3589,0.5532,0.5531319908279743
2017-03-31,29,24,76,18,29.85,1.5,0.4848,0.7073,-0.1808113759137511
2017-04-01,29,23,72,17,29.85,0.0,0.527,0.7964,-0.30114730650135624
2017-04-02,29,24,76,22,29.83,0.0,0.4816,0.7858,-0.6651333322717318
2017-04-03,29,24,75,22,29.8,2.1,0.4613,0.747,-0.5108751084952561
2017-04-04,29,23,74,20,29.8,4.2,0.3636,0.7316,0.09246823723694768
2017-04-05,29,23,76,17,29.83,1.1,0.3199,0.6442,0.19675560743557
2017-04-06,29,24,77,16,29.83,0.2,0.2978,0.5969,0.006387727404611676
2017-04-07,29,24,77,20,29.83,0.1,0.2568,0.5228,-0.7015802525411142
2017-04-08,29,24,74,25,29.83,1.9,0.1843,0.3514,-0.4929781557664722
2017-04-09,29,23,72,23,29.83,1.0,0.1774,0.2918,-0.336812753573427
2017-04-10,29,23,72,18,29.85,0.2,0.1559,0.28,-0.31960343740378166
2017-04-11,29,23,71,18,29.88,1.5,0.1994,0.3573,-0.39117539057523065
2017-04-12,29,23,73,19,29.91,4.5,0.4188,0.6501,0.08125708539244636
2017-04-13,29,23,74,21,29.85,1.3,0.6396,0.8552999,0.1876552699918513
2017-04-14,28,23,75,24,29.85,1.9,0.574,0.8422,0.22355297246984301
2017-04-15,28,23,74,24,29.85,1.4,0.4756,0.7884,-0.10066518073483678
2017-04-16,29,23,71,18,29.88,2.1,0.3841,0.7301,-0.0048540479226956606
2017-04-17,28,23,75,16,29.94,2.8,0.313,0.6661,0.09145477945934698
2017-04-18,29,23,74,21,29.91,0.5,0.2404,0.6283,-0.0048540479226956606
2017-04-19,29,23,73,27,29.85,0.0,0.222,0.5974,-0.2847749931758089
2017-04-20,29,23,74,24,29.88,0.2,0.2178,0.5385,-0.9807262879131868
2017-04-21,29,23,73,25,29.88,1.2,0.2285,0.5124,-0.6984506681212328
2017-04-22,29,23,73,26,29.91,2.6,0.2642,0.5337,-0.1808113759137511
2017-04-23,29,23,72,29,29.91,1.3,0.4214,0.6781,-0.039501241343366245
2017-04-24,29,23,74,31,29.91,0.9,0.4795,0.7538,-0.07564872894121127
2017-04-25,29,23,73,33,29.88,4.1,0.4345,0.7556,0.09145477945934698
2017-04-26,29,23,75,31,29.85,3.3,0.411,0.7357,0.27504907186205607
2017-04-27,29,23,72,26,29.88,0.4,0.3987,0.7186,0.2323240406498764
2017-04-28,28,23,77,23,29.88,2.7,0.3346,0.7001,0.10153868861245074
